"zoom-out-level";"%";"cumulative";"self";;"self";"total";
;"time";"seconds";"seconds";"calls";"s/call";"s/call";"name"
;;;;;;;
"trunk r11042, 8bpp-simple";;;;;;;
"x1";83.43;4.38;4.38;889919;0;0;"Blitter_8bppSimple::Draw(Blitter::BlitterParams*, BlitterMode, ZoomLevel)"
"x2";72.87;3.33;3.33;1667115;0;0;"Blitter_8bppSimple::Draw(Blitter::BlitterParams*, BlitterMode, ZoomLevel)"
"x4";59.82;4.63;4.63;6293949;0;0;"Blitter_8bppSimple::Draw(Blitter::BlitterParams*, BlitterMode, ZoomLevel)"
"x8";38.83;2.38;2.38;9385116;0;0;"Blitter_8bppSimple::Draw(Blitter::BlitterParams*, BlitterMode, ZoomLevel)"
;;;;;;;
"trunk r11042, 8bpp-optimized";;;;;;;
"x1";46.2;0.85;0.85;1102982;0;0;"Blitter_8bppOptimized::Draw(Blitter::BlitterParams*, BlitterMode, ZoomLevel)"
"x2";30.7;0.97;0.97;3193747;0;0;"Blitter_8bppOptimized::Draw(Blitter::BlitterParams*, BlitterMode, ZoomLevel)"
"x4";25.64;2.62;2.62;16929265;0;0;"Blitter_8bppOptimized::Draw(Blitter::BlitterParams*, BlitterMode, ZoomLevel)"
"x8";20.87;3.38;1.48;17016603;0;0;"Blitter_8bppOptimized::Draw(Blitter::BlitterParams*, BlitterMode, ZoomLevel)"
;;;;;;;
"trunk r11042, 32bpp-simple";;;;;;;
"x1";93.14;14.52;14.52;880380;0;0;"Blitter_32bppSimple::Draw(Blitter::BlitterParams*, BlitterMode, ZoomLevel)"
"x2";84.94;14.78;14.78;2915000;0;0;"Blitter_32bppSimple::Draw(Blitter::BlitterParams*, BlitterMode, ZoomLevel)"
"x4";77.87;16.33;16.33;9168255;0;0;"Blitter_32bppSimple::Draw(Blitter::BlitterParams*, BlitterMode, ZoomLevel)"
"x8";60.07;6.41;6.41;11586726;0;0;"Blitter_32bppSimple::Draw(Blitter::BlitterParams*, BlitterMode, ZoomLevel)"
;;;;;;;
"patched, 32bpp-simple-patched";;;;;;;
"x1";82.25;6.95;6.95;1131891;0;0;"Blitter_32bppSimple::Draw(Blitter::BlitterParams*, BlitterMode, ZoomLevel)"
"x2";75.39;7.29;7.29;3059893;0;0;"Blitter_32bppSimple::Draw(Blitter::BlitterParams*, BlitterMode, ZoomLevel)"
"x4";62.88;7.08;7.08;8292206;0;0;"Blitter_32bppSimple::Draw(Blitter::BlitterParams*, BlitterMode, ZoomLevel)"
"x8";45.58;7.73;7.73;27307770;0;0;"Blitter_32bppSimple::Draw(Blitter::BlitterParams*, BlitterMode, ZoomLevel)"
;;;;;;;
"calls/s";;"zoom x1";"zoom x2";"zoom x4";"zoom x8";;
"8bpp-simple";;203177.853881279;500635.135135135;1359384.23326134;3943326.05042017;;
"8bpp-optimized";;1297625.88235294;3292522.68041237;6461551.52671756;5034497.92899408;;
"32bpp-simple";;60632.2314049587;197225.98105548;561436.313533374;1807601.5600624;;
"32bpp-simple-patched";;162862.014388489;419738.40877915;1171215.53672316;3532699.87063389;;
;;;;;;;
"relative to 8bpp-simple";;"zoom x1";"zoom x2";"zoom x4";"zoom x8";;
"8bpp-simple";;1;1;1;1;;
"8bpp-optimized";;6.3866502060366;6.57669118553501;4.75329297531681;1.27671358254985;;
"32bpp-simple";;0.298419489362199;0.393951537185347;0.413007816183373;0.458395156005372;;
"32bpp-simple-patched";;0.801573652233049;0.838411807964398;0.861577991024117;0.895868063016873;;
